"courseId","sourcePath","relativePath","fullPath","filename","extension","sizeBytes","lastWriteTimeUtc","importerMode"
"cs3481","D:\下载\course_files_export (4)","causal_inference_intro.pdf","D:\下载\course_files_export (4)\causal_inference_intro.pdf","causal_inference_intro.pdf",".pdf","133156","2026-07-30T08:38:41.4242662Z","index"
"cs3481","D:\下载\course_files_export (4)","chp5.pdf","D:\下载\course_files_export (4)\chp5.pdf","chp5.pdf",".pdf","4647707","2026-07-30T08:38:41.4836587Z","index"
"cs3481","D:\下载\course_files_export (4)","Classifier Evaluation.pdf","D:\下载\course_files_export (4)\Classifier Evaluation.pdf","Classifier Evaluation.pdf",".pdf","405052","2026-07-30T08:38:41.5145691Z","index"
"cs3481","D:\下载\course_files_export (4)","Cluster Analysis (Hierarchical and Density-Based Approaches).pdf","D:\下载\course_files_export (4)\Cluster Analysis (Hierarchical and Density-Based Approaches).pdf","Cluster Analysis (Hierarchical and Density-Based Approaches).pdf",".pdf","364598","2026-07-30T08:38:41.5482553Z","index"
"cs3481","D:\下载\course_files_export (4)","Cluster Analysis (K-means).pdf","D:\下载\course_files_export (4)\Cluster Analysis (K-means).pdf","Cluster Analysis (K-means).pdf",".pdf","148010","2026-07-30T08:38:41.5749153Z","index"
"cs3481","D:\下载\course_files_export (4)","cps_00001.csv","D:\下载\course_files_export (4)\cps_00001.csv","cps_00001.csv",".csv","12033800","2026-07-30T08:38:41.6871786Z","inventory-only"
"cs3481","D:\下载\course_files_export (4)","CS 3481_linear regression.pptx","D:\下载\course_files_export (4)\CS 3481_linear regression.pptx","CS 3481_linear regression.pptx",".pptx","4906805","2026-07-30T08:38:41.7523994Z","index"
"cs3481","D:\下载\course_files_export (4)","CS_3481_Assignment_1.pdf","D:\下载\course_files_export (4)\CS_3481_Assignment_1.pdf","CS_3481_Assignment_1.pdf",".pdf","67548","2026-07-30T08:38:41.7794667Z","index"
"cs3481","D:\下载\course_files_export (4)","CS_3481_Assignment_2.pdf","D:\下载\course_files_export (4)\CS_3481_Assignment_2.pdf","CS_3481_Assignment_2.pdf",".pdf","130391","2026-07-30T08:38:41.8078755Z","index"
"cs3481","D:\下载\course_files_export (4)","cs_3481_lec1.ipynb","D:\下载\course_files_export (4)\cs_3481_lec1.ipynb","cs_3481_lec1.ipynb",".ipynb","422035","2026-07-30T08:38:41.8761228Z","inventory-only"
"cs3481","D:\下载\course_files_export (4)","CS_3481_lec1_suppliment.pdf","D:\下载\course_files_export (4)\CS_3481_lec1_suppliment.pdf","CS_3481_lec1_suppliment.pdf",".pdf","746084","2026-07-30T08:38:41.8428835Z","index"
"cs3481","D:\下载\course_files_export (4)","CS_3481_lec2.ipynb","D:\下载\course_files_export (4)\CS_3481_lec2.ipynb","CS_3481_lec2.ipynb",".ipynb","2937","2026-07-30T08:38:41.9247312Z","inventory-only"
"cs3481","D:\下载\course_files_export (4)","CS_3481_lec3.ipynb","D:\下载\course_files_export (4)\CS_3481_lec3.ipynb","CS_3481_lec3.ipynb",".ipynb","34147","2026-07-30T08:38:41.9617823Z","inventory-only"
"cs3481","D:\下载\course_files_export (4)","CS_3481_lec5_sup.pdf","D:\下载\course_files_export (4)\CS_3481_lec5_sup.pdf","CS_3481_lec5_sup.pdf",".pdf","394286","2026-07-30T08:38:41.9994557Z","index"
"cs3481","D:\下载\course_files_export (4)","Data.pdf","D:\下载\course_files_export (4)\Data.pdf","Data.pdf",".pdf","507160","2026-07-30T08:38:42.0309476Z","index"
"cs3481","D:\下载\course_files_export (6)","Decision Tree Classifier in sklearn.ipynb","D:\下载\course_files_export (6)\Decision Tree Classifier in sklearn.ipynb","Decision Tree Classifier in sklearn.ipynb",".ipynb","411441","2026-07-30T08:41:37.6804519Z","inventory-only"
"cs3481","D:\下载\course_files_export (6)","Decision Tree.pdf","D:\下载\course_files_export (6)\Decision Tree.pdf","Decision Tree.pdf",".pdf","252088","2026-07-30T08:41:37.7407983Z","index"
"cs3481","D:\下载\course_files_export (6)","Introduction.pdf","D:\下载\course_files_export (6)\Introduction.pdf","Introduction.pdf",".pdf","406190","2026-07-30T08:41:37.7974885Z","index"
"cs3481","D:\下载\course_files_export (6)","iris.csv","D:\下载\course_files_export (6)\iris.csv","iris.csv",".csv","4464","2026-07-30T08:41:37.8469492Z","inventory-only"
"cs3481","D:\下载\course_files_export (6)","K-Means-HierarchicalStructures.ipynb","D:\下载\course_files_export (6)\K-Means-HierarchicalStructures.ipynb","K-Means-HierarchicalStructures.ipynb",".ipynb","1796224","2026-07-30T08:41:37.8998305Z","inventory-only"
"cs3481","D:\下载\course_files_export (6)","lecture3.ppt","D:\下载\course_files_export (6)\lecture3.ppt","lecture3.ppt",".ppt","540672","2026-07-30T08:41:37.9253500Z","optional-conversion"
"cs3481","D:\下载\course_files_export (6)","logistic_regression.pdf","D:\下载\course_files_export (6)\logistic_regression.pdf","logistic_regression.pdf",".pdf","222679","2026-07-30T08:41:37.9509127Z","index"
"cs3481","D:\下载\course_files_export (6)","Naïve Bayes Classification with Python and Scikit-Learn.ipynb","D:\下载\course_files_export (6)\Naïve Bayes Classification with Python and Scikit-Learn.ipynb","Naïve Bayes Classification with Python and Scikit-Learn.ipynb",".ipynb","157115","2026-07-30T08:41:37.9820966Z","inventory-only"
"cs3481","D:\下载\course_files_export (6)","Nearest Neighbor Classifier and Probabilistic Classification Model.pdf","D:\下载\course_files_export (6)\Nearest Neighbor Classifier and Probabilistic Classification Model.pdf","Nearest Neighbor Classifier and Probabilistic Classification Model.pdf",".pdf","302085","2026-07-30T08:41:38.0087420Z","index"
"cs3481","D:\下载\course_files_export (6)","practice_problems_1.pdf","D:\下载\course_files_export (6)\practice_problems_1.pdf","practice_problems_1.pdf",".pdf","161375","2026-07-30T08:41:38.0344864Z","index"
"cs3481","D:\下载\course_files_export (6)","practice_problems_2.pdf","D:\下载\course_files_export (6)\practice_problems_2.pdf","practice_problems_2.pdf",".pdf","89998","2026-07-30T08:41:38.0591578Z","index"
"cs3481","D:\下载\course_files_export (6)","SDSC6018_Lecture3.pptx","D:\下载\course_files_export (6)\SDSC6018_Lecture3.pptx","SDSC6018_Lecture3.pptx",".pptx","4784710","2026-07-30T08:41:38.1184583Z","index"
"cs3481","D:\下载\course_files_export (6)","state_fips.csv","D:\下载\course_files_export (6)\state_fips.csv","state_fips.csv",".csv","829","2026-07-30T08:41:38.1605635Z","inventory-only"
"cs3481","D:\下载\course_files_export (6)","tut1.pdf","D:\下载\course_files_export (6)\tut1.pdf","tut1.pdf",".pdf","147476","2026-07-30T08:41:38.2158798Z","index"
"cs3481","D:\下载\course_files_export (6)","tut1_answer.pdf","D:\下载\course_files_export (6)\tut1_answer.pdf","tut1_answer.pdf",".pdf","118861","2026-07-30T08:41:38.1858172Z","index"
"cs3481","D:\下载\course_files_export (6)","tut2.pdf","D:\下载\course_files_export (6)\tut2.pdf","tut2.pdf",".pdf","124772","2026-07-30T08:41:38.2685184Z","index"
"cs3481","D:\下载\course_files_export (6)","tut2_answer.pdf","D:\下载\course_files_export (6)\tut2_answer.pdf","tut2_answer.pdf",".pdf","135524","2026-07-30T08:41:38.2423467Z","index"
"cs3481","D:\下载\course_files_export (6)","tut3.pdf","D:\下载\course_files_export (6)\tut3.pdf","tut3.pdf",".pdf","108795","2026-07-30T08:41:38.3185876Z","index"
"cs3481","D:\下载\course_files_export (6)","tut3_answer.pdf","D:\下载\course_files_export (6)\tut3_answer.pdf","tut3_answer.pdf",".pdf","118854","2026-07-30T08:41:38.2936565Z","index"
"cs3481","D:\下载\course_files_export (6)","tut4.pdf","D:\下载\course_files_export (6)\tut4.pdf","tut4.pdf",".pdf","127089","2026-07-30T08:41:38.3843781Z","index"
"cs3481","D:\下载\course_files_export (6)","tut4_answer.pdf","D:\下载\course_files_export (6)\tut4_answer.pdf","tut4_answer.pdf",".pdf","119478","2026-07-30T08:41:38.3539623Z","index"
"cs3481","D:\下载\course_files_export (6)","tut5.pdf","D:\下载\course_files_export (6)\tut5.pdf","tut5.pdf",".pdf","151718","2026-07-30T08:41:38.4352528Z","index"
"cs3481","D:\下载\course_files_export (6)","tut5_answer.pdf","D:\下载\course_files_export (6)\tut5_answer.pdf","tut5_answer.pdf",".pdf","109671","2026-07-30T08:41:38.4115159Z","index"
"cs3481","D:\下载\course_files_export (6)","tut6.pdf","D:\下载\course_files_export (6)\tut6.pdf","tut6.pdf",".pdf","114369","2026-07-30T08:41:38.4851540Z","index"
"cs3481","D:\下载\course_files_export (6)","tut6_answer.pdf","D:\下载\course_files_export (6)\tut6_answer.pdf","tut6_answer.pdf",".pdf","117738","2026-07-30T08:41:38.4600146Z","index"
"ge2324","D:\下载\course_files_export (3)","5.3 - Hypothesis Testing for a Proportion.pptx","D:\下载\course_files_export (3)\5.3 - Hypothesis Testing for a Proportion.pptx","5.3 - Hypothesis Testing for a Proportion.pptx",".pptx","612872","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","assignment_2.pdf","D:\下载\course_files_export (3)\assignment_2.pdf","assignment_2.pdf",".pdf","452992","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","causal_inference_intro.pdf","D:\下载\course_files_export (3)\causal_inference_intro.pdf","causal_inference_intro.pdf",".pdf","133156","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","Centrality in Social Networks.pdf","D:\下载\course_files_export (3)\Centrality in Social Networks.pdf","Centrality in Social Networks.pdf",".pdf","1671592","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","chp5.pdf","D:\下载\course_files_export (3)\chp5.pdf","chp5.pdf",".pdf","4647707","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","data_preprocessing.ipynb","D:\下载\course_files_export (3)\data_preprocessing.ipynb","data_preprocessing.ipynb",".ipynb","120867","2026-07-30T08:24:32.0000000Z","inventory-only"
"ge2324","D:\下载\course_files_export (3)","example_edges.csv","D:\下载\course_files_export (3)\example_edges.csv","example_edges.csv",".csv","102","2026-07-30T08:24:32.0000000Z","inventory-only"
"ge2324","D:\下载\course_files_export (3)","example_nodes.csv","D:\下载\course_files_export (3)\example_nodes.csv","example_nodes.csv",".csv","33","2026-07-30T08:24:32.0000000Z","inventory-only"
"ge2324","D:\下载\course_files_export (3)","GE_2324_Assignment_1.pdf","D:\下载\course_files_export (3)\GE_2324_Assignment_1.pdf","GE_2324_Assignment_1.pdf",".pdf","85936","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","ge_2324_lec1.ipynb","D:\下载\course_files_export (3)\ge_2324_lec1.ipynb","ge_2324_lec1.ipynb",".ipynb","41892","2026-07-30T08:24:32.0000000Z","inventory-only"
"ge2324","D:\下载\course_files_export (3)","GE_2324_lec1.pdf","D:\下载\course_files_export (3)\GE_2324_lec1.pdf","GE_2324_lec1.pdf",".pdf","392106","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","ge2234_linear regression.pptx","D:\下载\course_files_export (3)\ge2234_linear regression.pptx","ge2234_linear regression.pptx",".pptx","4906858","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","ge2324_assignment_3.pdf","D:\下载\course_files_export (3)\ge2324_assignment_3.pdf","ge2324_assignment_3.pdf",".pdf","59164","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","GE2324_Tut02.docx","D:\下载\course_files_export (3)\GE2324_Tut02.docx","GE2324_Tut02.docx",".docx","35776","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","GE2324_Tut05.docx","D:\下载\course_files_export (3)\GE2324_Tut05.docx","GE2324_Tut05.docx",".docx","192907","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","GE2324_Tut07.docx","D:\下载\course_files_export (3)\GE2324_Tut07.docx","GE2324_Tut07.docx",".docx","18764","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","GE2324_Tut08.docx","D:\下载\course_files_export (3)\GE2324_Tut08.docx","GE2324_Tut08.docx",".docx","18956","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","GE2324_Tut09_updated.docx","D:\下载\course_files_export (3)\GE2324_Tut09_updated.docx","GE2324_Tut09_updated.docx",".docx","18456","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","GE2324_Tut10.docx","D:\下载\course_files_export (3)\GE2324_Tut10.docx","GE2324_Tut10.docx",".docx","18920","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","karate.gml","D:\下载\course_files_export (3)\karate.gml","karate.gml",".gml","4194","2026-07-30T08:24:32.0000000Z","inventory-only"
"ge2324","D:\下载\course_files_export (3)","lsh.pptx","D:\下载\course_files_export (3)\lsh.pptx","lsh.pptx",".pptx","141774","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","network_family.csv","D:\下载\course_files_export (3)\network_family.csv","network_family.csv",".csv","798","2026-07-30T08:24:32.0000000Z","inventory-only"
"ge2324","D:\下载\course_files_export (3)","state_fips.csv","D:\下载\course_files_export (3)\state_fips.csv","state_fips.csv",".csv","829","2026-07-30T08:24:32.0000000Z","inventory-only"
"ge2324","D:\下载\course_files_export (3)","teng2011a.pdf","D:\下载\course_files_export (3)\teng2011a.pdf","teng2011a.pdf",".pdf","3357440","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (3)","test_for_mediation.pdf","D:\下载\course_files_export (3)\test_for_mediation.pdf","test_for_mediation.pdf",".pdf","122818","2026-07-30T08:24:32.0000000Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic01a_[CourseSlides]Introduction.pptx","D:\下载\course_files_export (5)\Topic01a_[CourseSlides]Introduction.pptx","Topic01a_[CourseSlides]Introduction.pptx",".pptx","25481628","2026-07-30T08:39:45.5947206Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic01b_[CourseSlides]DataBasics.pptx","D:\下载\course_files_export (5)\Topic01b_[CourseSlides]DataBasics.pptx","Topic01b_[CourseSlides]DataBasics.pptx",".pptx","442476","2026-07-30T08:39:45.6284453Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic02_[CourseSlides]NetworkAnalysis_final.pptx","D:\下载\course_files_export (5)\Topic02_[CourseSlides]NetworkAnalysis_final.pptx","Topic02_[CourseSlides]NetworkAnalysis_final.pptx",".pptx","21279194","2026-07-30T08:39:45.8267497Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic02_[CourseSlides]Supp for Network data.pptx","D:\下载\course_files_export (5)\Topic02_[CourseSlides]Supp for Network data.pptx","Topic02_[CourseSlides]Supp for Network data.pptx",".pptx","134645","2026-07-30T08:39:45.8487485Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic03_[CourseSlides]DataVisualization_final.pptx","D:\下载\course_files_export (5)\Topic03_[CourseSlides]DataVisualization_final.pptx","Topic03_[CourseSlides]DataVisualization_final.pptx",".pptx","20390181","2026-07-30T08:39:46.0551412Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic04_[CourseSlides]ClusteringAnalysis.pptx","D:\下载\course_files_export (5)\Topic04_[CourseSlides]ClusteringAnalysis.pptx","Topic04_[CourseSlides]ClusteringAnalysis.pptx",".pptx","5357195","2026-07-30T08:39:46.1286637Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic05_[CourseSlides]Correlation.pptx","D:\下载\course_files_export (5)\Topic05_[CourseSlides]Correlation.pptx","Topic05_[CourseSlides]Correlation.pptx",".pptx","1504847","2026-07-30T08:39:46.1739526Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic06_[CourseSlides]Associations and Frequent Item Anal.pptx","D:\下载\course_files_export (5)\Topic06_[CourseSlides]Associations and Frequent Item Anal.pptx","Topic06_[CourseSlides]Associations and Frequent Item Anal.pptx",".pptx","287345","2026-07-30T08:39:46.2223128Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic07_[CourseSlides]FindingSimilarItems.pptx","D:\下载\course_files_export (5)\Topic07_[CourseSlides]FindingSimilarItems.pptx","Topic07_[CourseSlides]FindingSimilarItems.pptx",".pptx","3014251","2026-07-30T08:39:46.3076842Z","index"
"ge2324","D:\下载\course_files_export (5)","Topic08_Recommendation.ppt","D:\下载\course_files_export (5)\Topic08_Recommendation.ppt","Topic08_Recommendation.ppt",".ppt","2525184","2026-07-30T08:39:46.3701543Z","optional-conversion"
"ge2324","D:\下载\course_files_export (5)","Topic99_Lecture13.pptx","D:\下载\course_files_export (5)\Topic99_Lecture13.pptx","Topic99_Lecture13.pptx",".pptx","2715634","2026-07-30T08:39:46.4519622Z","index"
